movieId,title,genres,vote_count,avg_rating,weighted_score
318,"Shawshank Redemption, The (1994)",Crime|Drama,317,4.429022082018927,4.420327096721409
177593,"Three Billboards Outside Ebbing, Missouri (2017)",Crime|Drama,8,4.75,4.409515540986444
6460,"Trial, The (Procès, Le) (1962)",Drama,5,4.9,4.375583868856361
1041,Secrets & Lies (1996),Drama,11,4.590909090909091,4.357476496489349
1104,"Streetcar Named Desire, A (1951)",Drama,20,4.475,4.348029171776125
1178,Paths of Glory (1957),Drama|War,12,4.541666666666667,4.333644730056726
3451,Guess Who's Coming to Dinner (1967),Drama,11,4.545454545454546,4.321762210775064
2239,Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975),Comedy|Drama,6,4.666666666666667,4.278296772316765
1217,Ran (1985),Drama|War,15,4.433333333333334,4.2780372750472715
858,"Godfather, The (1972)",Crime|Drama,192,4.2890625,4.276947030517184
2360,"Celebration, The (Festen) (1998)",Drama,12,4.458333333333333,4.266978063390059
2959,Fight Club (1999),Action|Crime|Drama|Thriller,218,4.272935779816514,4.26246457443824
31364,Memories of Murder (Salinui chueok) (2003),Crime|Drama|Mystery|Thriller,5,4.7,4.250583868856361
106642,"Day of the Doctor, The (2013)",Adventure|Drama|Sci-Fi,7,4.571428571428571,4.250467095085089
922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama|Film-Noir|Romance,27,4.333333333333333,4.250155698361696
1204,Lawrence of Arabia (1962),Adventure|Drama|War,45,4.3,4.25009731147606
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War,97,4.268041237113402,4.245046709508508
1221,"Godfather: Part II, The (1974)",Crime|Drama,129,4.25968992248062,4.242459628415537
904,Rear Window (1954),Mystery|Thriller,84,4.261904761904762,4.235685872998286
951,His Girl Friday (1940),Comedy|Romance,14,4.392857142857143,4.235568879461817
898,"Philadelphia Story, The (1940)",Comedy|Drama|Romance,29,4.310344827586207,4.234520967214091
1276,Cool Hand Luke (1967),Drama,57,4.271929824561403,4.233411182514181
1213,Goodfellas (1990),Crime|Drama,126,4.25,4.232594348456208
48516,"Departed, The (2006)",Crime|Drama|Thriller,107,4.252336448598131,4.231860645007735
3152,"Last Picture Show, The (1971)",Drama,8,4.5,4.227697359168262
3201,Five Easy Pieces (1970),Drama,8,4.5,4.227697359168262
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,204,4.237745098039215,4.227075705076574
58559,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX,149,4.238255033557047,4.223714940466124
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,251,4.231075697211155,4.222459334452169
246,Hoop Dreams (1994),Documentary,29,4.293103448275862,4.21889596721409
912,Casablanca (1942),Drama|Romance,100,4.24,4.218491950979135
1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance,142,4.232394366197183,4.217273592764489
527,Schindler's List (1993),Drama|War,220,4.225,4.215267582739241
7121,Adam's Rib (1949),Comedy|Romance,4,4.75,4.214952992978698
174053,Black Mirror: White Christmas (2014),Drama|Horror|Mystery|Sci-Fi|Thriller,4,4.75,4.214952992978698
3224,Woman in the Dunes (Suna no onna) (1964),Drama,4,4.75,4.214952992978698
3468,"Hustler, The (1961)",Drama,18,4.333333333333333,4.214508140516709
475,In the Name of the Father (1993),Drama,25,4.3,4.21445253395896
